"Molecule","State","Excitation","LDA S","PBE S","r2SCAN S","PBE0 S","r2SCAN0 S","HSE12 S","TBE S","LDA T","PBE T","r2SCAN T","PBE0 T","r2SCAN0 T","HSE12 T","TBE T","LDA ST","PBE ST","r2SCAN ST","PBE0 ST","r2SCAN0 ST","HSE12 ST","TBE ST"
"Formaldehyde","A1_pi","Valence",9.288,9.151,9.860,9.682,10.022,9.832,9.26,6.311,5.976,5.703,5.704,5.474,5.628,6.07,2.977,3.175,4.157,3.978,4.548,4.204,3.19
"Formamide","A’’","Valence",5.331,5.394,5.879,5.616,5.955,5.678,5.63,4.865,4.861,5.239,5.049,5.292,5.102,5.37,0.466,0.533,0.640,0.567,0.663,0.576,0.26
"Formamide","A’’","Valence",7.325,7.226,7.781,7.875,8.205,8.009,7.64,5.446,5.344,5.465,5.420,5.458,5.438,5.81,1.879,1.882,2.316,2.455,2.747,2.571,1.83
"Hydrogen sulfide","A2","Rydberg",5.931,5.870,6.427,6.045,6.377,6.092,6.10,5.533,5.361,5.756,5.484,5.685,5.512,5.74,0.398,0.509,0.671,0.561,0.692,0.580,0.36
"Hydrogen sulfide","B1","Rydberg",5.610,5.531,6.318,5.991,6.479,6.130,6.29,5.348,5.217,5.898,5.609,5.985,5.712,5.94,0.262,0.314,0.420,0.382,0.494,0.418,0.35
"Ketene","A2_pi","Valence",3.854,3.856,4.261,3.950,4.215,3.975,3.86,3.533,3.464,3.762,3.541,3.704,3.561,3.77,0.321,0.392,0.499,0.409,0.511,0.414,0.09
"Ketene","B1","Rydberg",5.556,5.365,6.072,5.843,6.304,6.020,6.06,5.453,5.210,5.888,5.656,6.073,5.794,5.85,0.103,0.155,0.184,0.187,0.231,0.226,0.21
"Ketene","A2_3p","Rydberg",6.503,6.279,6.895,6.920,7.399,7.136,7.19,6.515,6.250,6.880,6.873,7.358,7.078,7.14,-0.012,0.029,0.015,0.047,0.041,0.058,0.05
"Methanimine","A’’","Valence",4.810,4.956,5.394,5.163,5.436,5.213,5.21,3.980,4.019,4.321,4.177,4.332,4.210,4.64,0.830,0.937,1.073,0.986,1.104,1.003,0.57
"Nitrosomethane","A’’","Valence",1.853,1.910,2.196,1.905,2.105,1.903,1.95,0.900,0.841,0.997,0.775,0.860,0.755,1.16,0.953,1.069,1.199,1.130,1.245,1.148,0.79
"Streptocyanine-C1","B2","Valence",7.857,7.856,8.264,7.985,8.254,8.023,7.12,5.112,5.018,5.174,5.119,5.196,5.149,5.52,2.745,2.838,3.090,2.866,3.058,2.874,1.60
"Thioformaldehyde","A2","Valence",2.078,2.150,2.409,2.246,2.404,2.273,2.20,1.567,1.564,1.744,1.633,1.721,1.652,1.94,0.511,0.586,0.665,0.613,0.683,0.621,0.26
"Thioformaldehyde","B2","Rydberg",5.152,5.049,5.780,5.639,6.098,5.812,5.99,5.061,4.905,5.570,5.436,5.809,5.571,5.76,0.091,0.144,0.210,0.203,0.289,0.241,0.23
"Thioformaldehyde","A1","Valence",6.934,6.848,7.092,6.804,6.953,6.782,6.34,3.651,3.379,3.172,3.139,2.959,3.077,3.44,3.283,3.469,3.920,3.665,3.994,3.705,2.90
"Water","B1","Rydberg",6.573,6.412,7.300,7.191,7.803,7.426,7.70,6.319,6.093,6.931,6.793,7.335,6.984,7.33,0.254,0.319,0.369,0.398,0.468,0.442,0.37
"Water","A2","Rydberg",7.875,7.675,8.436,8.614,9.199,8.939,9.47,7.836,7.582,8.370,8.471,9.062,8.759,9.30,0.039,0.093,0.066,0.143,0.137,0.180,0.17
"Water","A1","Rydberg",8.664,8.576,9.490,9.388,10.001,9.624,9.97,8.302,8.142,8.979,8.875,9.393,9.066,9.59,0.362,0.434,0.511,0.513,0.608,0.558,0.38
